Tweet,Sentimen
"@pribumiantiarab @opposite6892 Karna suara rakyat (di Indonesia namanya DPR).

itulah awal mulanya.

Akhir dari kerajaan ottoman.
Akhir dari kerajaan turki.

Perjuangan terakhir adalah dari Bangsa Turki.
Next -&gt; Unknown.",negatif
D-DAY!!! see u dpr gang ♡,negatif
Bupati Zaki Ajak Rombongan Komisi IV DPR RI Jajaki Kawasan Ketapang Aquaculture https://t.co/iLxvwy0PwU,Positif
menangiss aku bru nyadar klo nct banyak dengerin lagu dpr😭,negatif
"🐿️ : One oke rock seperti biasaa 🤟💃
Umo : si presiden myday 🍀 Ehh tapi lagi oleng ke anak xh 🤣 gapapa umoo ku juga suka ❣️
Hyunee : DPR IAN WE GANG GANG! 😭🤟🔥 https://t.co/oNWmeMumfC",negatif
Dope Lovers - DPR IAN,Positif
Dpr we gang gang x8,negatif
dpr we gang gang &lt;&lt;&lt; dpr we cry cry 😔,negatif
gusto ko din maki dpr we gang gang😭😭,negatif
"AAA COWO"" GUE ADA CRUMBS SAMA DPR 😵‍💫😵‍💫",negatif
"aguy hindi makakapag ""dpr we gang gang"" 😔",negatif
Presiden Ajukan Satu Panglima TNI Kepada DPR https://t.co/LScqa9BC3v,Positif
Nct collab dong sama dpr 👉🏻👈🏻,negatif
vai sm libera o markola pro feat com dpr,negatif
HYUNJIN ESCUCHA A DPR AAAA,negatif
"sorry DPR, di nyo muna ako makikita bukas 😔",negatif
"Taeyong, mark x DPR",negatif
Komisi I DPR dan pemerintah menyepakati RUU kerja sama antara RI dan Singapura di bidang pertahanan. RUU akan disahkan di rapat paripurna. https://t.co/eU0fSWHHoI,Positif
dpr x 127,negatif
"@NarasiNewsroom Udah kayak UU VOC... padahal Presiden &amp; DPR dipilih oleh rakyat. Bekerja dan digaji oleh rakyat. Kebayangkan kamu semua, kalau kamu gaji orang, tp kamu ga bs kritik itu orang? Dan lucunya, yg kamu gaji malah zolim sama kamu",negatif
GAGO DPR IN MANILA !!,negatif
Presiden @jokowi memimpin rapat terbatas mengenai progres RUU KUHP yang telah disepakati oleh DPR dan pemerintah pada rapat paripurna tingkat I. https://t.co/Fvz69OkQUW,negatif
"nugagawen kung di makakapag ""dpr we gang gang"" mamaya",negatif
@jelasbukanonta @Tita83079013 @mohmahfudmd @MajelisUlamaID @MUIPusat @Kemenag_RI @DPR_RI @Itjen_Kemdikbud @kemkominfo @PolhukamRI @Kemendagri_RI @jokowi @nadiemmakarim @Kemdikbud_RI @na_dirs @DivHumas_Polri @KomnasHAM @aagym @BNPTRI @KPAI_official @ListyoSigitP Lebih biadab lagi agama yang datang dari eropa yg membunuh rakyat indonesia,negatif
gue agak nyesel melewatkan keshi kemarin dan dpr besok,negatif
Komisi V ⁦@DPR_RI⁩ @PDemokrat Ishak Mekki Berharap Keterlambatan Pengerjaan Flyover Simpang Sekip Dapat Dikejar https://t.co/3UU30Kbr8q,Positif
@dinosaurus_____ @jonisoeh beda dpr mas,negatif
"Sialan, ruto nyanyiin lagu DPR kiss me😭😭😭😭😭",negatif
@fentadhia @_DPRLIVE dpr x mark vibe e muasok sihh,negatif
NASA PH NA DPR CREW?#?$(#(,negatif
DPR - KISS ME (Haruto &amp; Jeongwoo short cover) https://t.co/7yfMPc1Q87,negatif
"UMP DKI 2023 Naik Rp 326 Ribu, Buruh: Nggak Manusiawi, Kita Akan Tetap Miskin! https://t.co/E5KkHHV7Mg @DPR_RI @DPRD_DKI @DKIJakarta @KemnakerRI @setkabgoid @KomnasHAM",negatif
"Naik Kapal Selam KRI Alugoro-405, Ketua DPR RI Terima Brevet Kehormatan TNI AL https://t.co/qh4IsLUkde",Positif
"@strraggal Yaudah jaditu katanya monas ma gedung dpr tuh berpasangan. Yang monas lambang keperkasaan, yang gedung dpr lambang wanitanya gitu.",negatif
@weirdlycl @riz1nonly @afinesc0tch @cubblez @depingggg @tetesown dpr kler spny dpr ri,Positif
gusto ko rin mag dpr we gang gang :((,negatif
"@CNNIndonesia fokus lah ikn itu dibangun pusat pemerintahan, istana presiden, dpr, kementrrian  dan ASN, fasilitas2 itu tak perlu super megah. Masih ada 30 an lebih ibukota propinsi lain di RI yg harus dibangun jd super metropolitan.ibu kota Kupang, Bengkulu, dll sgt tertinggal drpd Jakarta",negatif
Jangan Pilih Ketua DPR Tersangkut Korupsi. Berikut ini Setya Novanto Korupsi Baca selengkapnya. https://t.co/sZ20eGq6k5,negatif
Dirut PT Krakatau Steel Minta Tolong DPR Kawal Saham di Krakatau Posco https://t.co/4EUYB7ui3y https://t.co/WfNaHYtZDv,negatif
@_hjoshuji ang hirap maki dpr we gang gang kung may tahi ka sa tagiliran HAHHAAHHAHAHAHHA,negatif
dpr we gang gang,negatif
dpr we gang😭,negatif
"https://t.co/fim5oEAmG8
Perlu Adanya Aturan Bersama Atasi Tumpang Tindih Pengembangan Pariwisata @DPR_RI @PDemokrat @dedeyusuff12 https://t.co/UGN4GPfT9r",Positif
@snoopypriv DPR WE GANG GANG,negatif
@DPR_RI Nama saya Muhammad Dodi bekerja di dinas pemadam kebakaran kota Makassar dibidang sarana/ operasional 24 jam dan saya mengabdi selama 15 tahun 6 bulan tiba2 diputuskan/diberhentikan tanpa ada alasan tertentu dikarenakan adanya kebijakan pejabat kadis.,negatif
Komisi I DPR dan pemerintah menyepakati RUU kerja sama antara RI dan Singapura di bidang pertahanan. RUU akan disahkan di rapat paripurna. https://t.co/GPlr7jJhhK,Positif
"@CNNIndonesia ikN itu harusnya fokus pusat pemerintahan RI, kenapa jadi melebar jadi kota super megah? Kalau memang istana presiden, dpr dan kantor2 ASN, buat apa kereta cepat, mal2 besar, disana? Washington DC saja melarang bangun gedung2 lbh tinggi dr capitol hill, kok tujuan IKN begini?",negatif
"@datuakrajoangek FPI sdhdi bubarkan gaknjelas, bbrp pimpinannya ada yg dpenjara dgn kasud yg tdk jelas...eh lu masih nyebu2 FPI, sakit hati lu mendalam banget ya...skali2 ngaca di depan gedung DPR ha3x.",negatif
HYUNJIN ESCUCHA DPR😭😭,negatif
"@wavetoniel Harusnya display namemu gini vrii “Vrie will meet para DPR soon”

Maju mundur mau pesen buat taun depan :(((",negatif
dpr who???😏,Positif
@collegemenfess Orasi di depan gedung DPR,negatif
Komisi I DPR dan pemerintah menyepakati RUU kerja sama antara RI dan Singapura di bidang pertahanan. RUU akan disahkan di rapat paripurna. https://t.co/GPlr7jsefK,Positif
@ubinhasnanto1 @CNNIndonesia @DPR_RI @dprddkijakarta Yang sabar..sebentar lagi kok..ya.  Sabaaar ..2023 dah deket 😂😂😂,negatif
"DPR IAN, ONE OK ROCK
Kyknya kita bisa satu tongkrongan sih 😩 https://t.co/3aJ67bQ8UU",Positif
Tanggal 6 DPR we gang gang,negatif
Ya csvvv NCT X DPR,negatif
"@lely_riyan Ditakdirkan untuk jd anggota DPR, dapur wkwkwk",negatif
"10. Pasal 49 ayat (2) UU No. 13/2022 menyebutkan bahwa:

(2) Presiden menugasi menteri yang mewakili untuk membahas RUU disertai dengan daftar inventarisasi masalah bersama DPR dalam jangka waktu paling lama 60 (enam puluh) hari terhitung sejak surat pimpinan DPR diterima.#",Positif
"7. Pasalnya, Pemerintah menyerahkan Surpes (Surat Presiden) RUU EBET, namun tidak menyerahkan Daftar Inventarisasi Masalah (DIM).
.

Padahal sesuai aturan UU No. 13/2022, harusnya kedua dokumen tersebut sudah diserahkan paling lambat 60 hari sejak diterimanya surat dari DPR.",Positif
3. dengan acara: Pengantar Musyawarah RUU EBET secara terang-terangan pihak Pemerintah menyatakan belum dapat mengirimkan DIM kepada DPR.  Karena masih berproses di Sekretariat Negara.,negatif
"2. Pasalnya dalam Raker Komisi VII DPR RI dengan Menteri ESDM, Menteri Keuangan, Menteri LHK, Mendikbud Ristek, Menteri BUMN, Menteri Hukum dan HAM, Pimpinan Komite II DPD, pada Selasa, 29 November 2022,",Positif
dpr ruto kiss me audio kasi di ako makaka dpr we gang gang agoi,negatif
@_DPRLIVE @baekybock dpr live x mark lee soon 🫶🫶🫶,negatif
kaiyaq di ko marinig live ang dpr we gang gang 😿,negatif
"Tercantik itu masih nana after school sih, klo ganteng dpr ian keknya",negatif
wala muna kong kilalang dpr at stayc phew,negatif
mag dpr we gang gang nalang aq sa sm bukas 😌,negatif
Dirut PT KS Minta Tolong DPR Kawal Saham di Krakatau Posco https://t.co/G941XxthhA,negatif
dpr ian in manila im gonna cri,Positif
ANDITO NA PALA DPR PUTANGINA,negatif
"Calon Pengganti Andika Perkasa Belum Lewati Fit and Proper Test, DPR: Kami Harus Menunggu Bamus https://t.co/KGe2BqPvyx",Positif
dpr we gang gang :((,negatif
iyak na lang sa mga hindi makakapag dpr we gang gang,negatif
sanaol makakapag dpr we gang gang,negatif
Komisi I DPR Belum Tentukan Jadwal Fit and Proper Test Calon Panglima https://t.co/ENMLPjP21s,Positif
Komisi I DPR Tunggu Uji Kelayakan Panglima TNI https://t.co/wYQ18LGCSE,Positif
dpr we gang gang sa bahay;-;,negatif
@yaelahbre lahhh gua mah sukanya lagu2nya dpr live wlee😋😋,negatif
Wow kelar konser dpr udah kudu fokus garap laporan soalnya udah muncul jadwal seminar omg gonna be crazy next month😻😻😻,negatif
"kiss me by dpr live
come over by dean n baek yerin
oscar by kawan2 h1ghr
oasis by zico n crush
vancouver by big naughty
party by sik-k

lu beneran cowo gw @ toto",negatif
"wts dpr the regime tour jakarta
avail 2 tix pink vip tribune
jual dibawah harga ticketing
dm for more info

#DPRRegimeTourJKT #DPRinJakarta",negatif
@jonisoeh tgl 6 gua konser dpr ian mampus iri ga lu,negatif
"""Nama yang diusulkan oleh presiden menggantikan Panglima TNI Jenderal Andika Perkasa adalah Laksamana TNI Yudo Margono, Kepala Staf Angkatan Laut saat ini,"" sebut Puan, dalam jumpa pers di Gedung DPR RI Senayan, Jakarta. https://t.co/BjZSGk83L4",Positif
"Puan adalah salah satu pemimpin masa depan. Di bawah kepemimpinan Puan Maharani, saat ini DPR menjadi lebih adem karena dipimpin seorang perempuan. https://t.co/lhy6CCnunF",negatif
Padahal sudah dari periode 2014-2019 menggodok RUU Masyarakat Hukum Adat tetapi ngga ada kemauan politik dari Presiden dan DPR. Jika RUU ini menjadi momok yg menghambat investasi maka seharusnya para pengambil kebijakan juga menyadari bahwa...,negatif
@Obelianaaa @ubsansfess WKWKWK DPR IAN JDI RIAN SOEDRAJAT KSKSKSK BAGI AU,Positif
Teks sastra sejarah salak Bogor Jawa barat Indonesia ya kak udh di les privat bahasa Inggris yang datang dari arah belakang dan depan muka dia juga pernah mengalami dimintai uang oleh DPR saat menjadi majalah popular gue sm pundak dia akan selalu menjadi dambaan hampir uncrush,Positif
"Sebagai tokoh perempuan, nama Ketua DPR RI Puan Maharani menonjol dalam bursa calon Presiden dan Wakil Presiden 2024. https://t.co/CNIIXlYfnu",negatif
DPR WE FUCKEN GANG GANG AHUHU MAKIKITA KO NA SI CHRISTIAN YU,negatif
"Presiden @jokowi Ajukan Satu Calon Panglima TNI kepada DPR

Presiden Joko Widodo telah mengajukan Laksamana TNI Yudo Margono sebagai calon tunggal Panglima Tentara Nasional Indonesia untuk menggantikan Jenderal TNI Andika Perkasa. https://t.co/TrfjZwalFk",Positif
Ketua DPR Puan Maharani dinilai sebagai figur perempuan harapan publik untuk kontestasi Pilpres 2024. https://t.co/FyTlTzlwcY,negatif
Presiden Jokowi Ajukan Satu Calon Panglima TNI kepada DPR https://t.co/SzXBg9zaOn,Positif
Puan Maharani akan menerima Presidensi AIPA dari Parlemen Kamboja kpd DPR RI yg pada 2023 jadi tuan rumah AIPA ke-44. https://t.co/pdf1quXSm6,negatif
"sumpah ya gue lg solat isya td, hpnya gue taro samping gue kan WAKTU GUE TAHYHAT AKHIR RUTO SM JONGU NYANYI KISS ME DPR sumpah  gue buyar bgt malah baca al fatihah waktu tahyat akhir ajg 😭",negatif
LET ME SEE DPR 😭,negatif
@ian__dpr Bukan guwe! Gwe pengabdi setund aja,negatif
"di ako makaka dpr we gang gang, pakisigaw na lng ako ㅠㅠ",negatif
"kibum x dpr ian 'so beautiful' edit
https://t.co/NGd6kMyxKi",negatif
Mo nanya apaan ya ke anak DPR buat QnA. Nanya anggaran APBN untuk R*HL kali ya,negatif
Gagi di ako makatulog for dpr 🥹🖤,negatif
"Mengenai nama perempuan yang masuk dalam radar Capres 2024, Direktur Eksekutif Perludem Khoirunnisa Nur Agustya mengakui nama Ketua DPR Puan Maharani. https://t.co/rRxipQc8X0",negatif
Ketua DPR RI sekaligus Ketua DPP PDIP Puan Maharani menyatakan partainya siap memiliki capres sendiri dalam pergelaran Pilpres 2024. https://t.co/whwt1BvzGN,negatif
Surat Presiden (Surpres) Panglima TNI sendiri telah disampaikan kepada DPR oleh Menteri Sekretaris Negara Pratikno pada Senin (28/11). Selanjutnya Laksamana TNI Yudo Margono akan segera menjalani uji kelayakan dan kepatutan di Komisi I DPR. https://t.co/rZGJ53yzul,Positif
UNTUNG AJAAAA W BELOM BELI TIKET DPR,negatif
MAMAAAAAAAA AKU UDAH DP TIKET DPR😭😭😭😭😭😭😭😭😭😭,negatif
dpr ruto 🥹 https://t.co/ENjKYXBYto,negatif
sana all makakapag dpr we gang gang bukas,negatif
"“Panglima TNI kan sudah kita ajukan. Panglima TNI sudah diajukan ke DPR untuk mendapatkan persetujuan,” ujar Presiden Jokowi kepada awak media di Rumah Adat Radakng, Kota Pontianak, Provinsi Kalimantan Barat, pada Selasa, 29 November 2022. https://t.co/A3liItnsxP",Positif
tangina hindi ako makakapag dpr we gang gang 😭😭😭,negatif
Presiden Joko Widodo telah mengajukan Laksamana TNI Yudo Margono sebagai calon tunggal Panglima Tentara Nasional Indonesia untuk menggantikan Jenderal TNI Andika Perkasa. Surat Presiden (Surpres) terkait hal tersebut sudah disampaikan kepada DPR untuk mendapatkan persetujuan. https://t.co/6M7RJFXr2Z,Positif
Pengen menguasai DPR supaya bisa revisi UU Perkawinan Pasal 2 ayat (1),Positif
"PRESIDEN LANGGAR UU No.13/2022.
.
Siang ini Raker Pengantar Musyawarah RUU EBET Komisi VII DPR RI dgn Pemerintah.  
.
Tiga Menteri hadir.
.
Namun tanpa DIM.
.
Lebih dari 60 hari DIM blm dikirim.
.
Mengelola negara kok kayak gini. ORA SERIUS.🙈
@FPKSDPRRI @PKSejahtera @hnurwahid https://t.co/mC0qm9OZaB",Positif
keshi 🤝 dpr ian,Positif
sino ba naman ako para mag dpr we gang gang bukas,negatif
"GUE SHOCK BERAT, karena gue ga pernah sama sekali buka tentang DPR, kayak web ada artis siapa sih.
pas tadi gue buka ANJRITT ITU WEB CANTIKKKK BANGET GA BOONG",negatif
"@convomfs Pasal pencemaran nama baik mau diapus, soalnya mau diganti pasal menghina dpr dan polisi 🙏🏻",negatif
@detikcom Susahnya kek mana?? Macam anak kecil pula anggota DPR ini suka bnget ngebego2in diri sndiri 🫣,negatif
Ketua DPR RI Puan Maharani diteriaki presiden usai undang-undang pembentukan Provinsi Papua Barat Daya disahkan.  Puan Maharani pun terkejut sembari memegang dadanya. https://t.co/W1hgNj4otN,Positif
TRAVIS NYANYI LAGU KISS ME DPR LIVE,negatif
DPR LIVE 😭😭😭😭😭😭😭,negatif
Paripurna DPR menyetujui permohonan naturalisasi pemain sepak bola Shayne Elian Jay Pattynama. DPR merestui Shayne Pattynama utk disahkan menjadi WNI. Hal tersebut disampaikan Ketua DPR Puan Maharani selaku pimpinan sidang. https://t.co/J4CAgFGof4,Positif
Bayangin guerrilla flag ver yg maen bassnye dpr ian,negatif
eu i hyunjin ouvindo todas do dpr ian 😝,negatif
"Presiden  Jokowi telah mengajukan Laksamana TNI  Yudo Margono sebagai calon tunggal  Panglima TNI untuk menggantikan Jenderal TNI Andika Perkasa.

Surat Presiden (Surpres) terkait hal tersebut sudah disampaikan kepada  DPR untuk mendapatkan persetujuan.

https://t.co/kiUTPaDGZh",Positif
@syahfrudinprole @jokowi @KemenkopUKM @KemenkeuRI @DPR_RI Siap ndan🙏,negatif
Bupati Zaki Ajak Rombongan Komisi IV DPR RI Jajaki Kawasan Ketapang Aquaculture https://t.co/s6c7meclN0 via @BeritaIrn https://t.co/ONs8aloZMX,Positif
dpr live kiss me - #하루토 https://t.co/RS8v9aWrSk,negatif
teume! haruto nyanyi lagunya dpr live tapi liriknya suka suka dia,negatif
sana all ka dpr we gang gang bwas,negatif
D-7 ketemu dpr aaaaaa,negatif
"Diah Tekankan Manajemen Distribusi Bantuan di Cianjur

Wakil Ketua Komisi VIII DPR RI Diah Pitaloka menekankan manajemen distribusi bantuan harus merata bagi korban bencana gempa bumi...

Selengkapnya: https://t.co/Q96K3rHXUl 

#PDIPerjuangan
#PDIPerjuanganJabar
#SolidBergerak",Positif
"[Thread] Paparan Wamen II BUMN Kartika Wirjoatmodjo di depan Komisi VI @dpr_ri terkait KCIC @keretacepatid

1.  Desain site plan keempat stasiun KCIC: Halim, Karawang (barat jembatan Cibeet sudah masuk Bekasi), Padalarang, Tegalluar https://t.co/8zSfJmoRGf",Positif
"Di Tahun Politik, DPR Soroti Objektivitas TNI saat Uji Kelayakan https://t.co/BxHpDQDf6s",negatif
WEH HARUTO NYANYIIN KISS ME DPR LIVE DI LIVE-NYA BARUSAN MAU SCREEN RECORD GA KEBURU ☹️ NANGIS 😭🤧,negatif
@MajKhuramPak Kal tum dpr 12 baja keh rha tha PTI ka kashmir sa sefiya ho giya ha or rat ko result aiya to pata chala ka noon ko to sirf 9 seats or ppp ko 11 seats mile hain PTI ko 43 ma sa 23 seats mile hain 3 seats azad umeedwars ko mile hain,negatif
Sana sapakin ako ni dpr ian bukas char,negatif
@ouryeppiee dpr k itu k nya kontol ya?,negatif
"Puan Maharani adalah salah satu pemimpin masa depan. Di bawah kepemimpinan Puan Maharani, saat ini DPR menjadi lebih adem karena dipimpin seorang perempuan. https://t.co/nczbDysGq6",negatif
Haruto anak wag mo kantahin DPR wala na akong pera pambili ng tix nila bukas huhu,negatif
Ketua DPR Puan Maharani dipandang meneruskan spirit kepemimpinan bangsa yang dulu digagas Presiden Soekarno. Dirinya membuktikan keberpihakannya pada kepentingan rakyat kecil. https://t.co/aglaiUxNd2,negatif
@mbahazel dpr ian aja,negatif
"@IrSuwaji3 @MnurRainil @HelmiFelis_ Udah selesai kok masih demo ke DPR. 
Bokep mulu lu tonton.  

https://t.co/Z8ucQXgxIL",negatif
"@Dennysiregar7 Semua salah di mata satu (dajjal)..
Selama menentang pemerintah dan kawannya DPR RI",negatif
AA RUTOO NYANYI LAGU DPR KISS ME AAAAAAAAA,negatif
"Dpr we cri cri, umpisahan ko na cri cri bye",negatif
dpr kiss me😭😭,negatif
TANGINA CON NA NI DPR BUKAS DITO SA PH NAIIYAK AKO BAT NYO PINAALALA HJW 😭😭😭,negatif
Rutooo plissss full cover lagu dpr ian plisssssss,negatif
"WEH RUTO NYANYI LAGU DPR, dying~~~~~",negatif
DPR PA NGA,negatif
ANJIRRRRRRR RUTO DPR,negatif
DPR KISS ME AAJDKFHAIDFJJS,negatif
waa dpr live ft yeonjun soon,negatif
HARUTO DPR :(((((((((((((((((((((((((((((((((((((((((((((((((((((,negatif
PUTANGINA DPR,negatif
DPR DAW,negatif
"Untuk diketahui, Nusantara Bersatu adalah ajang silaturahmi relawan Jokowidan dihadiri langsung oleh sang presiden tersebut.

Dalam tayangan yang dilihat dari Kanal Youtube BeritaSatu, Adian menilai bahwa acara tersebut bukan prioritasnya sebagai anggota DPR.",negatif
"@Dennysiregar7 Nasdem akan jadi partai twebesar dan saya perkirakan momcong putih 2024 bakal nyungsep, kami akan pilih kader2 nasdem di dpr ri dprd kota / kabupaten, aehingga nasdem akan jd partai twrbeaar seperti dulu demokrat besar karena ada SBY",Positif
"Anggota DPR Adian Napitupulu mengaku tak menghadiri undangan pada acara Nusantara Bersatu di Stadion Gelora Bung Karno (GBK) kemarin. 

Fraksi Partai Demokrasi Indonesia Perjuangan (PDIP) membeberkan alasannya.",Positif
gusto ko din mag dpr we gang gang,negatif
@nearJSJ KAK YANG BENER AJA😭 bisa bayangin ga aku jadi DPR IAN?,negatif
DPR WE GANG GANG SA BAHAY,negatif
"@DrEvaChaniago Organisasi Profesi Kesehatan Tolak RUU Kesehatan Omnibus Law, Fahira Minta DPR dan Pemerintah Merespon Bijak

DPD dukung !!!

https://t.co/r5eb9yFZqE",negatif
baru tau klo taeyong jga suka lagunya dpr yg jasmine one of my favorite song sampe pernah masukin nih lagu di playlist yg gue kasih ke bang jago alias mntan q 💀,negatif
"Organisasi Profesi Kesehatan Tolak RUU Kesehatan Omnibus Law, Fahira Minta DPR dan Pemerintah Merespon Bijak

DPD dukung !!!

https://t.co/r5eb9yFZqE",negatif
"@elsaardhp siapaa yaa, sing uji publik malem2, ehh🤭 wes koyok dpr pas ape ngesahno ruu ciptaker ae🤭",negatif
nandito na pala dpr :((,negatif
"@JantunGPiisanG Platnya sama gak?
Klo gak sama, masi kalah ama anggota dpr cap kebo 😎👍",negatif
dpr we gang gang sa bahay 😔💔,negatif
"221129 @/ota_walter IG POST

🇧🇷 uma honra 😎
🏷️ @/dprian 

#DPR #DPRIAN https://t.co/NpQMD0fffv",Positif
@ehseoyeon @selfolconvo Pukul kalo berani bapak gw DPR.,negatif
mana pake topi dpr pula @privacode pacarmu,negatif
"@nihilistsob Kyknya dlu ini yg diperjuangkan anang waktu masih dpr, tp blm apa” udh ditentang jrx",negatif
"kawawa nmn c dpr ian, di niya ako makikita",Positif
bukas na pla dpr we gang gang 💔💔💔💔💔,negatif
"KAMI INSAN KOPERASI
MENOLAK RUU PPSK
KARENA MERUSAK 
DEMOKRASI EKONOMI

#TolakOJKdiKoperasi 
@jokowi 
@KemenkopUKM 
@KemenkeuRI 
@DPR_RI https://t.co/gVGBegIyKa",Positif
"WTS tiket konser
DPR REGIME WORLD TOUR - JAKARTA (6 Desember 2022)
YELLOW seating
Bisa cod tiket fisik di venue",Positif
kawawa naman dpr hindi nila ako makikita :D,Positif
@LaNyallaAcademy @DPDRI @DPR_RI @democrazymedia dan sudah sejak awal munculnya wacana perpanjangan masa jabatan dan ato 3 periode. lanyalla sdh di garda depan menolaknya. itu rekam jejak.,negatif
"Istg ini mah galau bangettt belum bisa nonton koner keshi, trus nanti hitc belum bisa nonton niki milli, dilanjut konser tour dpr 😭😭😭😭😭",negatif
@Diecency Si DPR IAN kalo dibikinin tahu isi kata kamu kira-kira suka gak dia?,negatif
ok czas na dpr !,negatif
awas aja kalo sblm dpr konser tiba2 ada announce ticketing ass. mau nafas dulu biar bisa nabung plsss.,negatif
Wakil Ketua DPR Tepis Isu Mau Tunda Uji Kelayakan Yudo Margono Jadi Panglima TNI https://t.co/psXvEFOGpq,Positif
"@convomf ada ga sih orang yg nipu ditipu balik kaya minta beliin pulsa atau kuota gitu, kayanya seru",negatif
dpr ian🔥🔥🔥,Positif
Galing ni DPR Ian mag-filipino HAHAHAHAHAHAH Christian Batungbakal,negatif
"@LaNyallaAcademy @DPDRI @DPR_RI @democrazymedia klo lanyalla ketum partai, ato pro salah satu pihak entah jokowi ato anies...baru analoginya masuk akal...posisi lanyalla netral sbg ketua DPD RI, yg tujuan utamanya mendorong penguatan fungsi dan peran lembaga, itupun krn adanya aspirasi dari masyarakat daerah.",negatif
dpr we gang gang sa bahay lets go,negatif
@dpr_yian Iya betul world tour tapi sayangnya indo di coret dari list mendadak :(,negatif
"bukas na concert ng dpr :"")",negatif
@convomf gue ga dengerin dpr ian anjir https://t.co/8ZTJWQ9R3N,negatif
Pelaksanaan tes menunggu penugasan Bamus DPR. https://t.co/c7QAbJtNso,negatif
"DPR ERA

LEZZ GOO",negatif
@Askrlfess Mas dpr ian ❤️ https://t.co/0PaB0U8hDq,negatif
"@rentfess ________

Hi sweetheart. Aku mau memantaskan diri untuk menjadi pacarmu nih kebetulan aku avail 2 mingguan. Aku bisa sayangin kamu, dan juga sering perhatian ke kamu. dan saya pendengar yang baik dan kebetulan side fc saya dpr ian

________",negatif
"@bachrum_achmadi Knp ga komplen ke DPR jg yang bikin undang2 batas aman utang??jgn2 ga paham, atau pura2 ga paham 🤣🤣🤣🤣",negatif
Ketua Komisi I DPR Meutya Hafid mengatakan bahwa pelaksanaan fit and proper test atau uji kepatutan dan kelayakan calon Panglima TNI Laksamana Yudo Margono menunggu penugasan dari Badan Musyawarah (Bamus) DPR  RI. #CalonPanglimaTNI https://t.co/j2SjfSu9ul,Positif
Apa yaudah staycation aja ya pas dpr sekalian…🫠 sendiri..,negatif
dpr we gang gang sa bahay habang umiiyak 😭🤘🏻,negatif
@baibenist @keshimusic doain minggu depan DPR juga sebagus Keshi 🫠 aku degdegan bgt,negatif
@Gladislagiwoy @kenapa_bingung_ @hadifianwidjaja @arunariftan @Dennysiregar7 Emangnya cuma nasdem doang yg ngesahin.. Kan itu berdasarkan mayoritas partai..  Para mahasiswa yg demo slalu bikin slogan bubarkan dpr.. Nah anda ini ga mudeng ya..,negatif
@youronlydelila dpr we gang gang gang gang gang gang ganvv,negatif
"@yedi_kurniahadi @OposisiCerdas Yang Ngajukan pemerintah lalu DPR mayoritas koalisi dukung pemerintah
Ditolak apa ditolak ?",negatif
Ketua DPR RI Akan Terus Mendukung Indonesia Sebagai Negara Maritim dan Negara Kelautan https://t.co/GKrI8lhn8T,negatif
dpr we gang gang malungkot version,negatif
Komisi I DPR Mulai Bahas Revisi UU ITE di Masa Sidang Mendatang https://t.co/FysC7tGayE,Positif
@tamedashedlover hyunjin said dpr ian.. my pisces bestie,Positif
"padahal kemarin gue mimpi ngedate sama dpr ian anjir, tapi sekarang mimpinya kok serem:"")",negatif
Sensya na ian di ako makakapag “dpr we gang gang” bukas 🥲,negatif
what if uuwi markyong d2 para sa dpr con bukas eme,Positif
gak jadi nonton dpr karena MAU NONTON THE ROSE AJA PLS,negatif
Hahahahha sino ba naman ako para mag dpr we gang gang bukas,negatif
Khh yang mau nonton dpr udh siapin outfit belom? Spill inspo outfit kalian dong!!,negatif
"@uncukfriendd ash island semua nya kak klo dpr banyak kaaaa.. to myself, jasmine, martini blue, laputa, kiss me.. itu yg aku sukaa banget yaa kak wakakaak klo mau dengerin semuaa oke bgt!!",negatif
@arunariftan @umarhasibuan757 Sukses bravo utk bpk panglima tni baru semoga DPR tdk berlama² pemeriksaan nya👍🙏🙏🙏,Positif
@fadlizon @ShuraQatar @bksapdpr @DPR_RI Membangun Kejayaan Masa Lalu,negatif
"READY NA PO AKO MAG DPR WE GANG GANG NG LIVE 

#RegimeTourInMnl",negatif
OMG DPR IAN??? HYUNJIN I—- https://t.co/zriQB6iMO8,Positif
@ian__dpr Enak dong mantep dongg,negatif
Anggota Dewan protes pak bas gk punya WA 🤣🤣 #DPR #pakbas https://t.co/wEaBZi8fs1,negatif
off dulu bola seru bener ini pada ngegas,negatif
@benana_yougurt KU BUTUH DPR LIVE YG BALES,negatif
TANGINA IM SEEING DPR?????,negatif
@euncheur tak gendong kemana mana,negatif
DPR IAN,Positif
@thisisdaphme dpr we huhuhu,negatif
@ian__dpr Naca mau minta gendong,negatif
"wow outfit yg pada mau nonton konser dpr pada kece kece amat, jadi jiper gue",negatif
Bener ae akeh sg pingin dadi dpr.. KWKW,negatif
@dapniele mana lu aja gak respond,negatif
@shoiceungsheol buset ini cheat mobil terbang,negatif
@xrenjan anjay,negatif
@joohyuk94rn spill doa,Positif
"@CNNIndonesia Tidak untuk saat sekarang,...gunakan duwitnya untuk kesejahteraan rakyat @DPR_RI",negatif
@ARTIST_EUNJl halo enji,negatif
@euncheur @nevwiee mau apaan ini,negatif
@oliviahyekr lu bukannya request bisikan jenazah,Positif
gusto ko din mag dpr we gang gang😭😭😭😭😭,negatif
di ako makakapag dpr we gang gang bukas😔😔,negatif
Guys wala akong matanong sa DPR,Positif
